2025-04-29 14:28:49,600 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:28:49,610 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 2, 12)
2025-04-29 14:28:49,611 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(10), np.int64(0), np.int64(11)) with prob = 0.4188590
2025-04-29 14:28:49,612 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.158, 0.672, 2188.124)
2025-04-29 14:28:49,614 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:28:52,554 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:28:52,557 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 2, 12)
2025-04-29 14:28:52,558 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(10), np.int64(1), np.int64(12)) with prob = 1.0
2025-04-29 14:28:52,559 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 8.255780773309944e-17
2025-04-29 14:28:52,560 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.682, -0.547, 2598.124)
2025-04-29 14:28:52,560 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.524, -0.914, 70.000)
2025-04-29 14:28:52,561 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.158, 0.368, 2528.124)
2025-04-29 14:28:52,562 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:28:54,620 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:28:54,633 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 3, 13)
