2025-04-29 15:46:43,689 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-29 15:46:43,689 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-29 15:46:51,000 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-29 15:46:51,526 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-29 15:46:51,674 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-29 15:47:28,883 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2025-04-29 15:47:29,604 | MainThread   | [DEBUG   ] | show_plot           |: Show Map
2025-04-29 15:48:00,138 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-29 15:50:06,175 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
